size,type,task,accuracy,batch
1.3b,original,arc_easy,0.6098484848484849,0
1.3b,original,piqa,0.735582154515778,0
1.3b,original,sciq,0.87,0
1.3b,original,winogrande,0.5808997632202052,0
1.3b,pruned,arc_easy,0.3468013468013468,0
1.3b,pruned,piqa,0.5946681175190425,0
1.3b,pruned,sciq,0.732,0
1.3b,pruned,winogrande,0.500394632991318,0
1.3b,continued_pretraining,arc_easy,0.49158249158249157,19800
1.3b,continued_pretraining,piqa,0.6643090315560392,19800
1.3b,continued_pretraining,sciq,0.814,19800
1.3b,continued_pretraining,winogrande,0.5272296764009471,19800
1.3b,continued_pretraining,arc_easy,0.47895622895622897,10800
1.3b,continued_pretraining,piqa,0.6697497279651795,10800
1.3b,continued_pretraining,sciq,0.81,10800
1.3b,continued_pretraining,winogrande,0.5114443567482242,10800
1.3b,continued_pretraining,arc_easy,0.49747474747474746,34200
1.3b,continued_pretraining,piqa,0.6670293797606094,34200
1.3b,continued_pretraining,sciq,0.834,34200
1.3b,continued_pretraining,winogrande,0.5169692186266772,34200
1.3b,continued_pretraining,arc_easy,0.4612794612794613,5400
1.3b,continued_pretraining,piqa,0.6577801958650707,5400
1.3b,continued_pretraining,sciq,0.788,5400
1.3b,continued_pretraining,winogrande,0.5059194948697711,5400
1.3b,continued_pretraining,arc_easy,0.48442760942760943,18000
1.3b,continued_pretraining,piqa,0.6626768226332971,18000
1.3b,continued_pretraining,sciq,0.819,18000
1.3b,continued_pretraining,winogrande,0.4996053670086819,18000
1.3b,continued_pretraining,arc_easy,0.48569023569023567,16200
1.3b,continued_pretraining,piqa,0.6681175190424374,16200
1.3b,continued_pretraining,sciq,0.824,16200
1.3b,continued_pretraining,winogrande,0.5067087608524072,16200
1.3b,continued_pretraining,arc_easy,0.4671717171717172,9000
1.3b,continued_pretraining,piqa,0.661588683351469,9000
1.3b,continued_pretraining,sciq,0.791,9000
1.3b,continued_pretraining,winogrande,0.5043409629044988,9000
1.3b,continued_pretraining,arc_easy,0.49663299663299665,36000
1.3b,continued_pretraining,piqa,0.6675734494015234,36000
1.3b,continued_pretraining,sciq,0.826,36000
1.3b,continued_pretraining,winogrande,0.5114443567482242,36000
1.3b,continued_pretraining,arc_easy,0.5058922558922558,46800
1.3b,continued_pretraining,piqa,0.6692056583242655,46800
1.3b,continued_pretraining,sciq,0.84,46800
1.3b,continued_pretraining,winogrande,0.5138121546961326,46800
1.3b,continued_pretraining,arc_easy,0.5012626262626263,37800
1.3b,continued_pretraining,piqa,0.6610446137105549,37800
1.3b,continued_pretraining,sciq,0.836,37800
1.3b,continued_pretraining,winogrande,0.5074980268350434,37800
1.3b,continued_pretraining,arc_easy,0.494949494949495,32400
1.3b,continued_pretraining,piqa,0.6648531011969532,32400
1.3b,continued_pretraining,sciq,0.837,32400
1.3b,continued_pretraining,winogrande,0.5114443567482242,32400
1.3b,continued_pretraining,arc_easy,0.5054713804713805,30600
1.3b,continued_pretraining,piqa,0.6637649619151251,30600
1.3b,continued_pretraining,sciq,0.832,30600
1.3b,continued_pretraining,winogrande,0.5098658247829518,30600
1.3b,continued_pretraining,arc_easy,0.4882154882154882,23400
1.3b,continued_pretraining,piqa,0.6588683351468988,23400
1.3b,continued_pretraining,sciq,0.819,23400
1.3b,continued_pretraining,winogrande,0.5138121546961326,23400
1.3b,continued_pretraining,arc_easy,0.494949494949495,27000
1.3b,continued_pretraining,piqa,0.6681175190424374,27000
